                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.74022,                0.88536,                 2.2985,                0.96302,                0.96957,                0.98163,                0.87014,                0.54962,                0.36287,                 2.0735,              0.0059608,              0.0059608,              0.0059608
                    104,                 0.7407,                0.88895,                 2.2966,                0.96283,                0.97069,                0.98162,                0.87212,                0.55001,                0.36233,                 2.0723,              0.0059212,              0.0059212,              0.0059212
                    105,                0.73645,                0.87843,                 2.2927,                0.97013,                0.96659,                0.98167,                0.86965,                0.55119,                0.36242,                 2.0741,              0.0058816,              0.0058816,              0.0058816
                    106,                0.73664,                0.87636,                 2.2937,                0.97138,                0.96676,                 0.9825,                0.86949,                0.55082,                0.36198,                 2.0746,               0.005842,               0.005842,               0.005842
                    107,                0.72773,                0.86827,                 2.2798,                0.96849,                0.96528,                0.98311,                0.86966,                0.55027,                0.35981,                 2.0742,              0.0058024,              0.0058024,              0.0058024
                    108,                0.73459,                0.86837,                 2.2818,                0.96708,                0.96736,                0.98417,                0.86968,                0.54986,                0.35887,                 2.0746,              0.0057628,              0.0057628,              0.0057628
                    109,                0.72686,                0.85778,                 2.2782,                0.97004,                0.96769,                0.98486,                0.87132,                0.55016,                0.35943,                 2.0745,              0.0057232,              0.0057232,              0.0057232
                    110,                0.72943,                 0.8572,                 2.2703,                0.96968,                 0.9683,                0.98466,                0.87021,                0.55012,                  0.359,                 2.0741,              0.0056836,              0.0056836,              0.0056836
                    111,                0.73151,                0.85933,                 2.2762,                0.96952,                0.96934,                0.98515,                0.87068,                0.54943,                0.35951,                 2.0736,               0.005644,               0.005644,               0.005644
                    112,                0.72643,                 0.8534,                 2.2772,                0.97091,                0.96763,                0.98499,                0.87173,                0.54831,                0.35959,                 2.0725,              0.0056044,              0.0056044,              0.0056044
                    113,                0.72859,                0.84847,                 2.2662,                0.96876,                0.97066,                0.98447,                0.87192,                0.54749,                0.36004,                 2.0712,              0.0055648,              0.0055648,              0.0055648
                    114,                0.73363,                0.85021,                 2.2728,                0.96912,                0.97091,                0.98417,                0.87163,                0.54748,                0.36026,                 2.0701,              0.0055252,              0.0055252,              0.0055252
                    115,                0.72929,                0.85488,                 2.2686,                0.96924,                0.97063,                 0.9834,                 0.8706,                0.54743,                0.35973,                 2.0686,              0.0054856,              0.0054856,              0.0054856
                    116,                0.72482,                 0.8448,                 2.2624,                0.96893,                0.97083,                0.98246,                0.86988,                0.54768,                0.35812,                 2.0686,               0.005446,               0.005446,               0.005446
                    117,                0.72943,                0.85148,                   2.27,                0.96932,                 0.9705,                0.98229,                  0.871,                  0.549,                0.35833,                 2.0697,              0.0054064,              0.0054064,              0.0054064
                    118,                0.72116,                0.84016,                 2.2706,                0.97002,                0.97018,                 0.9825,                0.87102,                0.54794,                0.35609,                 2.0677,              0.0053668,              0.0053668,              0.0053668
                    119,                0.72017,                0.83441,                 2.2466,                0.97117,                0.96967,                0.98202,                 0.8712,                0.54923,                0.35775,                 2.0682,              0.0053272,              0.0053272,              0.0053272
                    120,                0.72594,                0.83957,                 2.2626,                0.97187,                0.96915,                0.98237,                0.87065,                0.54913,                0.35713,                 2.0669,              0.0052876,              0.0052876,              0.0052876
                    121,                0.72422,                 0.8318,                 2.2795,                0.97209,                0.96929,                0.98301,                 0.8721,                0.54917,                0.35611,                 2.0662,               0.005248,               0.005248,               0.005248
                    122,                 0.7241,                0.83508,                 2.2769,                0.97231,                0.96925,                 0.9826,                0.87195,                0.54954,                0.35658,                 2.0661,              0.0052084,              0.0052084,              0.0052084
                    123,                0.72199,                0.83753,                 2.2509,                0.97247,                0.96941,                0.98245,                0.87272,                0.55034,                0.35643,                 2.0659,              0.0051688,              0.0051688,              0.0051688
                    124,                0.71872,                0.82604,                 2.2559,                 0.9723,                0.96974,                0.98243,                 0.8724,                0.55096,                0.35617,                 2.0656,              0.0051292,              0.0051292,              0.0051292
