                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                  1.204,                 2.8468,                 1.5859,                0.39033,                0.21591,                0.18123,                0.10701,                  1.581,                 3.3471,                 1.9242,             0.00012531,             0.00012531,             0.00012531
                     65,                 1.1813,                  2.818,                 1.5918,                0.35872,                0.26833,                0.22717,                0.14616,                  1.591,                  3.274,                 1.9021,             0.00012201,             0.00012201,             0.00012201
                     66,                 1.2116,                  2.781,                 1.5875,                0.42789,                0.23864,                0.19895,                0.10753,                 1.6468,                 3.3377,                 2.0036,             0.00011871,             0.00011871,             0.00011871
                     67,                 1.1947,                 2.8172,                 1.5738,                0.59973,                0.18182,                0.19063,                0.11714,                   1.59,                 3.3113,                 1.9154,             0.00011542,             0.00011542,             0.00011542
                     68,                 1.1545,                 2.7607,                 1.5542,                0.67999,                0.17045,                 0.1921,                0.10697,                 1.6197,                 3.2854,                 1.9554,             0.00011212,             0.00011212,             0.00011212
                     69,                 1.2217,                 2.7964,                 1.6009,                0.50838,                0.18339,                0.21464,                0.12347,                 1.6073,                 3.2494,                 1.9537,             0.00010882,             0.00010882,             0.00010882
                     70,                 1.2027,                 2.7906,                 1.5723,                 0.7273,                0.17045,                0.19845,                0.11669,                 1.6773,                 3.3021,                 2.0016,             0.00010553,             0.00010553,             0.00010553
                     71,                 1.1838,                  2.749,                 1.5809,                0.49632,                0.19318,                0.22062,                0.13262,                 1.5624,                 3.3489,                 1.9377,             0.00010223,             0.00010223,             0.00010223
                     72,                 1.1927,                 2.7645,                 1.5644,                0.54435,                0.19318,                0.19568,                0.11659,                  1.603,                   3.27,                 1.9269,             9.8934e-05,             9.8934e-05,             9.8934e-05
                     73,                 1.2036,                 2.7915,                 1.5981,                0.57579,                0.21027,                0.16403,                0.09372,                 1.5649,                 3.2958,                 1.8782,             9.5638e-05,             9.5638e-05,             9.5638e-05
                     74,                 1.1797,                 2.7518,                  1.571,                 0.5552,                0.20455,                0.20917,                0.12606,                 1.5949,                  3.191,                 1.9164,             9.2341e-05,             9.2341e-05,             9.2341e-05
                     75,                 1.1955,                  2.781,                 1.5713,                0.74324,                0.17393,                 0.1866,                0.10208,                 1.5314,                 3.2377,                 1.8993,             8.9044e-05,             8.9044e-05,             8.9044e-05
                     76,                 1.2004,                 2.7528,                 1.5702,                0.67621,                0.19318,                0.22457,                0.13591,                 1.5317,                  3.217,                 1.8777,             8.5748e-05,             8.5748e-05,             8.5748e-05
